gene,temperature,n,score_combined,max_combined,min_combined
cdc10,30,3,-5.326954700092268,-1.5743132665865471,-9.563984246433522
cdc10,33,1,-9.563984246433522,-1.5743132665865471,-9.563984246433522
cdc11,23,5,-1.3981037417245683,-1.3981037417245683,-10.718455514640254
cdc11,27,5,-3.098897023440424,-1.3981037417245683,-10.718455514640254
cdc11,30,5,-10.718455514640254,-1.3981037417245683,-10.718455514640254
cdc12,23,2,0.7496824225960059,0.7496824225960059,-7.3644996847881705
cdc12,27,2,-3.6542494665454464,0.7496824225960059,-7.3644996847881705
cdc12,30,2,-7.3644996847881705,0.7496824225960059,-7.3644996847881705
cdc14,23,5,2.708621786468991,2.708621786468991,-2.690771894132607
cdc14,27,3,1.5688668917805852,2.708621786468991,-2.690771894132607
cdc14,30,1,-2.690771894132607,2.708621786468991,-2.690771894132607
cdc15,27,1,1.9654420000230117,1.9654420000230117,0.8718459619553268
cdc15,30,1,0.8718459619553268,1.9654420000230117,0.8718459619553268
cdc19,23,1,7.482711374264316e-4,0.26774894051296483,7.482711374264316e-4
cdc19,27,1,0.26774894051296483,0.26774894051296483,7.482711374264316e-4
cdc19,30,1,0.23678490898316598,0.26774894051296483,7.482711374264316e-4
cdc19,33,1,0.24010709096364796,0.26774894051296483,7.482711374264316e-4
cdc2,23,4,-8.424892127451143,-7.957110354896444,-16.146293737492392
cdc2,27,4,-16.146293737492392,-7.957110354896444,-16.146293737492392
cdc2,30,2,-7.957110354896444,-7.957110354896444,-16.146293737492392
cdc20,23,3,2.066951230578275,2.066951230578275,-1.1785351131056259
cdc20,27,3,-0.8377401243829626,2.066951230578275,-1.1785351131056259
cdc20,30,2,-0.8715493365808138,2.066951230578275,-1.1785351131056259
cdc20,33,1,-1.1785351131056259,2.066951230578275,-1.1785351131056259
cdc21,23,2,0.09944995418888955,0.09944995418888955,-3.9050612050410662
cdc21,27,2,-0.892406575846427,0.09944995418888955,-3.9050612050410662
cdc21,30,3,-3.9050612050410662,0.09944995418888955,-3.9050612050410662
cdc21,33,2,-0.20589285761160614,0.09944995418888955,-3.9050612050410662
cdc23,23,1,-0.044829655610766184,-0.044829655610766184,-0.3654838428496628
cdc23,27,1,-0.3654838428496628,-0.044829655610766184,-0.3654838428496628
cdc24,23,7,1.0580706976328054,1.0580706976328054,-8.700849919873152
cdc24,27,7,0.8824991209781482,1.0580706976328054,-8.700849919873152
cdc24,30,4,-0.5523291607886464,1.0580706976328054,-8.700849919873152
cdc24,33,4,-8.700849919873152,1.0580706976328054,-8.700849919873152
cdc25,23,2,1.0061002449733942,3.1663587586026063,1.0061002449733942
cdc25,27,1,3.1663587586026063,3.1663587586026063,1.0061002449733942
cdc25,30,2,1.0613808767448587,3.1663587586026063,1.0061002449733942
cdc25,33,2,1.7594025492918999,3.1663587586026063,1.0061002449733942
cdc26,23,1,0.7126889127982432,0.7126889127982432,-0.3160771825944899
cdc26,27,1,0.4932343571655634,0.7126889127982432,-0.3160771825944899
cdc26,30,1,-0.3160771825944899,0.7126889127982432,-0.3160771825944899
cdc27,23,2,0.6208873936865842,1.7237695696791835,0.6208873936865842
cdc27,27,1,1.7237695696791835,1.7237695696791835,0.6208873936865842
cdc28,23,5,-2.769278482659727,-2.769278482659727,-25.623599911983
cdc28,27,7,-7.208390748689961,-2.769278482659727,-25.623599911983
cdc28,30,6,-6.414071170468856,-2.769278482659727,-25.623599911983
cdc28,33,4,-25.623599911983,-2.769278482659727,-25.623599911983
