orf,gene,alleles,MATa_hit,TS_hit,tSNE1,tSNE2
YGL242C,ygl242c,ygl242c,FALSE,FALSE,-13.849743822038903,-2.237022171306329
YGL260W,ygl260w,ygl260w,FALSE,FALSE,3.257241166063158,3.452885299370107
YGL262W,ygl262w,ygl262w,FALSE,FALSE,-0.439586559277066,5.702612147149471
YNL160W,ygp1,ygp1,FALSE,FALSE,2.3301845985691787,17.20864396762446
YGR011W,ygr011w,ygr011w,FALSE,FALSE,-12.2804756923626,-22.84443449484595
YGR012W,ygr012w,ygr012w,FALSE,FALSE,15.789533181243963,-2.321382026168827
YGR015C,ygr015c,ygr015c,FALSE,FALSE,14.324859096260411,2.2974988685242015
YGR016W,ygr016w,ygr016w,FALSE,FALSE,-8.167044356856959,14.55597444147484
YGR017W,ygr017w,ygr017w,FALSE,FALSE,-1.0937322766825075,-14.586306209611354
YGR018C,ygr018c,ygr018c,FALSE,FALSE,-0.3535706499417072,-17.353431736339495
YGR021W,ygr021w,ygr021w,FALSE,FALSE,3.312591512903148,7.8105005720780065
YGR022C,ygr022c,ygr022c,FALSE,FALSE,-14.72659136564758,-22.914018777143376
YGR025W,ygr025w,ygr025w,FALSE,FALSE,19.30084359456995,1.9599273536491606
YGR026W,ygr026w,ygr026w,FALSE,FALSE,-10.653051288360137,7.2220605022596205
YGR035C,ygr035c,ygr035c,FALSE,FALSE,-14.511455962663357,-17.1550151901093
YGR039W,ygr039w,ygr039w,TRUE,FALSE,12.664579065052527,2.9166495720493972
YGR042W,ygr042w,ygr042w,FALSE,FALSE,12.220325796844918,3.9150024816924263
YGR045C,ygr045c,ygr045c,FALSE,FALSE,-16.99607195086375,-12.158144124653562
YGR050C,ygr050c,ygr050c,FALSE,FALSE,-7.772871490657785,-5.027189993330321
YGR051C,ygr051c,ygr051c,FALSE,FALSE,-1.2578551764800805,-8.005296543404528
YGR053C,ygr053c,ygr053c,FALSE,FALSE,-1.4198169201481934,-0.1634039571467511
YGR054W,ygr054w,ygr054w,FALSE,FALSE,-16.899028908017506,0.3498599303871956
YGR066C,ygr066c,ygr066c,FALSE,FALSE,13.05644174035614,-1.1860704570180907
YGR067C,ygr067c,ygr067c,FALSE,FALSE,-10.132241370251258,13.085484704177233
YGR069W,ygr069w,ygr069w,FALSE,FALSE,4.458948841263484,0.07358820067391898
YGR079W,ygr079w,ygr079w,FALSE,FALSE,-12.764110602615759,11.326037552823184
YGR107W,ygr107w,ygr107w,FALSE,FALSE,-12.433976696713088,-23.430601232204506
YGR111W,ygr111w,ygr111w,FALSE,FALSE,-16.881111632019053,-11.61035188069353
YGR117C,ygr117c,ygr117c,FALSE,FALSE,-10.726588046981846,-23.68909710917053
YGR122W,ygr122w,ygr122w,TRUE,FALSE,-29.234414166413394,-3.394777085252892
YGR125W,ygr125w,ygr125w,FALSE,FALSE,-2.406900614115539,-5.308827374585073
YGR126W,ygr126w,ygr126w,FALSE,FALSE,-4.195235131103624,-2.0479113418466404
YGR127W,ygr127w,ygr127w,FALSE,FALSE,-2.790495182695351,-19.538659643698193
YGR130C,ygr130c,ygr130c,FALSE,FALSE,-9.497088723773366,-12.477233716462898
YGR137W,ygr137w,ygr137w,FALSE,FALSE,-9.872513624646725,3.860856924938944
YGR139W,ygr139w,ygr139w,FALSE,FALSE,-4.880688688831721,-19.556633482296917
YGR149W,ygr149w,ygr149w,FALSE,FALSE,10.719298650883742,-15.71097287278021
YGR151C,ygr151c,ygr151c,FALSE,FALSE,6.313635125725917,1.4988047299875775
YGR153W,ygr153w,ygr153w,FALSE,FALSE,-23.432567925849018,-9.465416745004005
YGR164W,ygr164w,ygr164w,FALSE,FALSE,-9.43761216970752,-1.3453791222926672
YGR176W,ygr176w,ygr176w,FALSE,FALSE,-8.357199590665116,-16.708044346761266
YGR182C,ygr182c,ygr182c,FALSE,FALSE,22.47883495335115,9.306847725886017
YGR201C,ygr201c,ygr201c,FALSE,FALSE,10.794486227788555,1.9049479132957479
YGR210C,ygr210c,ygr210c,FALSE,FALSE,-2.9394018459461946,11.571902369903867
YGR226C,ygr226c,ygr226c,FALSE,FALSE,-6.203001674506509,24.33468721910293
YGR228W,ygr228w,ygr228w,FALSE,FALSE,-19.00666767812664,3.7429260226620813
YGR237C,ygr237c,ygr237c,TRUE,FALSE,18.935445187404554,-2.4141675718768987
YGR242W,ygr242w,ygr242w,FALSE,FALSE,-8.91832719630317,-8.184766618544376
YGR250C,ygr250c,ygr250c,FALSE,FALSE,4.600181758990116,18.47434357920241
YGR259C,ygr259c,ygr259c,FALSE,FALSE,15.476656409737052,-1.6540605580031984
YGR266W,ygr266w,ygr266w,FALSE,FALSE,4.645155324415041,13.176566677449967
YGR269W,ygr269w,ygr269w,FALSE,FALSE,-3.7576050584106593,-18.347481722951354
YGR273C,ygr273c,ygr273c,FALSE,FALSE,7.428514430343992,0.3028949746464288
YGR283C,ygr283c,ygr283c,FALSE,FALSE,5.1880604397852235,-21.053975198439854
YGR290W,ygr290w,ygr290w,FALSE,FALSE,-1.6477723868217027,-7.915435481734078
YGR291C,ygr291c,ygr291c,FALSE,FALSE,5.882148384274805,3.103430353145238
YGR234W,yhb1,yhb1,FALSE,FALSE,-0.9913227511399223,4.835735946515591
YLR298C,yhc1,yhc1-1 | yhc1-2 | yhc1-3 | yhc1-8,FALSE,FALSE,-11.494622391017352,31.255560325847572
YJL059W,yhc3,yhc3,FALSE,FALSE,11.910760761881129,-6.99024518960631
YHR029C,yhi9,yhi9,FALSE,FALSE,18.006425221132048,-0.3973890457917766
YHR048W,yhk8,yhk8,FALSE,FALSE,-9.602303603430396,-14.251501558267947
YHL008C,yhl008c,yhl008c,FALSE,FALSE,-2.876208748160381,-0.8119733899118985
YHL012W,yhl012w,yhl012w,FALSE,FALSE,-17.359207225286656,-17.61582957393203
YHL017W,yhl017w,yhl017w,FALSE,FALSE,-14.866391234555657,-12.245559641218636
YHL026C,yhl026c,yhl026c,FALSE,FALSE,-6.420273405464963,-21.61749279675134
YHL037C,yhl037c,yhl037c,FALSE,FALSE,-12.7815087894015,-20.18705200872463
YHL041W,yhl041w,yhl041w,FALSE,FALSE,-5.388470829068196,-12.711931667934904
YHL042W,yhl042w,yhl042w,FALSE,FALSE,12.019075023777596,-9.020168689908768
