from,to,any_sig,dEMAP_diff
aft1,arp8,FALSE,7.499460549441925e-4
aft1,asf1,FALSE,0.32309253210644634
aft1,bim1,FALSE,-0.5050214116005944
aft1,chl1,FALSE,-0.028497425759691775
aft1,cik1,FALSE,-3.270791103488377e-5
aft1,cka2,FALSE,-0.37601489837331364
aft1,csm2,FALSE,0.04267238878933141
aft1,csm3,FALSE,0.15177442532599064
aft1,ctf18,FALSE,0.6970554117573958
aft1,ctf4,FALSE,0.2643601059421589
aft1,ctf8,FALSE,0.711579075749869
aft1,dbf2,TRUE,0.44144755174193867
aft1,dcc1,FALSE,0.6460441613314596
aft1,ddc1,FALSE,0.21262120837880202
aft1,def1,FALSE,0.008932214835882996
aft1,dhh1,FALSE,1.0416223584167328
aft1,dia2,FALSE,0.6960243412605578
aft1,dot1,FALSE,0.15946397505453747
aft1,dpb4,FALSE,-0.33169187396741406
aft1,dun1,FALSE,-0.21051036753080926
aft1,erg2,FALSE,0.369924598366905
aft1,esc2,FALSE,-0.17108853173229968
aft1,exo1,FALSE,0.13438171911914668
aft1,gnd1,TRUE,0.0974009190510271
aft1,gph1,TRUE,-0.6066400189721418
aft1,gpx2,FALSE,0.37650071734939294
aft1,hal5,FALSE,-0.0018792088531319642
aft1,hcs1,FALSE,0.042946455496949976
aft1,hpc2,FALSE,-0.07649201749242628
aft1,hrq1,FALSE,-0.192115155018683
aft1,ina1,FALSE,0.17571767891993648
aft1,ira2,FALSE,-0.05890021256812031
aft1,irc21,FALSE,0.10311322701673704
aft1,lte1,FALSE,-0.24867804438105018
aft1,met18,FALSE,-0.14291747294195592
aft1,mgs1,FALSE,0.2971813130428844
aft1,mlh1,FALSE,-0.10563578337220207
aft1,mlh2,FALSE,-0.15947950206485695
aft1,mlh3,FALSE,-0.16823181524411454
aft1,mms1,FALSE,0.757598329129986
aft1,mms22,FALSE,0.07978590791301529
aft1,mph1,FALSE,0.0892990549786209
aft1,mre11,FALSE,-0.026337066787057606
aft1,msh2,FALSE,9.68049905775368e-5
aft1,mus81,FALSE,-0.12634595258483503
aft1,npl6,FALSE,-6.430602315309609e-5
aft1,nup60,FALSE,-0.32579068585547094
aft1,nup84,FALSE,0.5625070235251346
aft1,pif1,FALSE,-0.012607713187947183
aft1,pol30-RR,FALSE,0.005350102016347752
aft1,pol32,TRUE,0.33886464305903913
aft1,pso2,FALSE,-0.08784784583964998
aft1,psy2,FALSE,0.1920489880257013
aft1,psy3,TRUE,1.0656219170107848
aft1,psy4,FALSE,-0.004705387573287298
aft1,rad1,FALSE,0.03909848986593264
aft1,rad10,FALSE,0.1027593284448124
aft1,rad14,FALSE,0.05345429713475298
aft1,rad16,FALSE,-0.009126032349699664
aft1,rad18,FALSE,-0.3357044982632731
aft1,rad2,FALSE,0.07756777696252257
aft1,rad23,FALSE,0.20293412806689082
aft1,rad26,FALSE,0.1890753649583053
aft1,rad27,FALSE,0.340764271356034
aft1,rad28,FALSE,0.021494459312797136
aft1,rad34,FALSE,-0.48098899088930447
aft1,rad4,FALSE,0.18524501271741398
aft1,rad5,FALSE,-0.05250782221296207
aft1,rad50,FALSE,0.237499207075946
aft1,rad51,FALSE,-0.09949011666349701
aft1,rad52,FALSE,0.2254876917911776
aft1,rad54,FALSE,0.22499968655704236
aft1,rad55,FALSE,0.5749889495745902
aft1,rad57,FALSE,0.28716069194500676
aft1,rad6,TRUE,0.15158796800437657
aft1,rad61,FALSE,-0.1657761723299691
aft1,rad9,FALSE,-0.3662792525107393
aft1,rcy1,FALSE,0.013744296450786076
aft1,rdh54,FALSE,-0.01469190602134849
aft1,reg1,FALSE,3.6045672435158836e-4
aft1,rev3,FALSE,-0.08388392176721152
aft1,rev7,FALSE,-0.10709581333492924
aft1,rnh203,FALSE,0.4484192692827084
aft1,rph1,FALSE,-0.10865683291165042
aft1,rrd1,FALSE,0.369789730048115
aft1,rrm3,FALSE,0.03554899357165489
aft1,rts1,FALSE,0.0021325897098788092
aft1,rtt101,FALSE,0.17513028930912916
aft1,rtt107,FALSE,0.7111703004659148
aft1,rtt109,FALSE,0.43155049556357666
aft1,sac1,FALSE,0.22658403611062938
aft1,saw1,FALSE,0.07359788556676043
aft1,sec22,FALSE,-0.10742347479657705
aft1,sgs1,FALSE,0.055613095314978406
aft1,shu1,FALSE,0.2050980241377768
aft1,shu2,FALSE,0.2390038314218641
aft1,sin3,FALSE,0.008993938826194887
aft1,sin4,FALSE,-0.025432210657180238
aft1,sis2,FALSE,-0.13122079223247743
aft1,siz1,FALSE,0.06818383751930346
aft1,sky1,FALSE,0.5405226136730625
aft1,slt2,FALSE,-0.6226917575002365
aft1,slx4,FALSE,0.22409172897418017
aft1,slx5,TRUE,0.40886551842003727
aft1,slx8,FALSE,-0.06015702280525439
aft1,snf2,FALSE,0.646388533698275
aft1,sod1,TRUE,0.6516336240387594
aft1,srs2,FALSE,-0.08913247414559619
aft1,ssz1,FALSE,0.02307267960024043
aft1,swi4,FALSE,-0.15222999287431363
aft1,swi5,TRUE,-0.32902568710796104
aft1,tdp1,FALSE,0.3793304960193944
aft1,tip41,FALSE,0.3815821772414467
aft1,tof1,FALSE,-0.21549250422916388
aft1,top3,FALSE,-0.061659865174834995
aft1,trm10,FALSE,0.3412051499659559
aft1,ubc13,FALSE,-0.026975721519005232
aft1,ubp7,TRUE,-0.6726519295427283
aft1,vam3,FALSE,-0.32720145225174413
aft1,vma10,TRUE,-0.043699212804898295
aft1,vph2,FALSE,0.013866778172516525
aft1,vps20,FALSE,-0.012688341145683723
aft1,vps41,FALSE,0.18307702112667112
aft1,vps51,FALSE,-0.15413998102035195
aft1,whi3,FALSE,0.027433105634871956
aft1,wss1,FALSE,-0.19722509540709077
aft1,xrs2,FALSE,0.2243972523887728
aft1,yaf9,FALSE,0.0010300910970710902
aft1,yku70,FALSE,0.21517245619062084
aft1,yps1,FALSE,0.20586327262349396
apn1,asf1,FALSE,0.016711760387135236
apn1,csm2,FALSE,-7.01434182105993e-4
apn1,csm3,FALSE,0.06614203382510389
apn1,ctf18,FALSE,-0.08175186916998922
apn1,ctf4,FALSE,-0.009825518043013386
apn1,dcc1,TRUE,-0.021600058021272142
apn1,ddc1,FALSE,0.01164809559236202
apn1,dhh1,FALSE,0.08406003847601219
apn1,dia2,FALSE,0.0030517081715629763
apn1,erg2,FALSE,-0.021286715379117672
apn1,esc2,FALSE,0.06258885861498392
apn1,exo1,FALSE,0.055293290767854955
apn1,gpx2,FALSE,0.09864490904461655
apn1,hpc2,FALSE,0.03669743135974207
apn1,hrq1,FALSE,-7.807825103651542e-4
apn1,ina1,FALSE,0.10217149674330453
apn1,irc21,FALSE,0.09617785036351506
apn1,mlh1,FALSE,0.16414778761961135
apn1,mlh3,FALSE,0.011957741423978503
apn1,mms1,FALSE,-0.011171700180556994
apn1,mms2,FALSE,-0.03456158763894814
apn1,mms22,FALSE,0.1472268244156679
apn1,mph1,FALSE,0.03683643054445098
apn1,mre11,FALSE,-0.21674605700181587
apn1,mus81,FALSE,-0.032175837223507434
