strain_id,strain_name,size,control_size,log2_ratio,z
rec3135,mix23,1.899028813338814e-4,1.6477911023353107,-13.082983941730198,-24.944433595793733
rec4985,apl2,0.0018981341567682092,0.2638073124467806,-7.118758781729648,-13.315341618813942
rec4967,sba1,0.004691107060051917,0.4101202472741803,-6.449974733502461,-12.011341350391795
rec4011,rad55,0.007664590276034056,0.5833008502789747,-6.24988769476794,-11.621210107116426
rec1666,rps12,0.012738193348691574,0.5174643827903839,-5.344226984418209,-9.85534590547168
rec3138,coq1,0.03697739618769551,0.9074894853845863,-4.617165383287274,-8.43771561726823
rec3223,aac3,0.03992544168878174,0.9787357495981052,-4.615539123760836,-8.434544723966244
rec3169,ybr032w,0.037952894645068264,0.5559020750462931,-3.8725489388672916,-6.985856760931755
rec540,rad52,0.061289677411441215,0.6485031089865663,-3.403397474386065,-6.071101635961516
rec7102,mrpl20,0.07990874698038261,0.6530594955882114,-3.0307890940454,-5.344586957167151
rec5149,vps34,0.024984566593635793,0.20086883449627926,-3.0071446452165445,-5.298484829430625
rec2292,rpl16a,0.028865203247158928,0.22330963314357344,-2.95164219869009,-5.190265733355539
rec2804,rmi1,0.16682589821433508,1.1355903411740607,-2.767027306645792,-4.830302200405496
rec7582,ymr001c-a,0.13666817729291575,0.9302733937863346,-2.766977410018472,-4.830204911578719
rec1714,ifm1,0.07850224008085481,0.5294932234123704,-2.753806492996853,-4.804524156517226
rec5144,ylr235c,0.11700768768853402,0.782772495089529,-2.741989742230566,-4.781483765210103
rec5143,top3,0.121594749563196,0.7588372847073204,-2.6417096310167323,-4.585956834974739
rec3944,rad57,0.16786509866778732,1.046493183705903,-2.640188703137922,-4.582991318127444
rec1098,ddc1,0.24280789444416467,1.4962102340000836,-2.6234256699979435,-4.550306627498167
rec2314,gut2,0.05209040779638678,0.31848851950875884,-2.612151732315334,-4.528324617306286
rec5550,ctf4,0.14853001062828336,0.8980691288346343,-2.596072042264738,-4.496972314275578
rec3155,gal7,0.036984705371315714,0.2180480678508433,-2.5596455184855778,-4.425947598731564
rec2313,imp2',0.07474073183129261,0.42421273452009967,-2.504821334854187,-4.319050984853187
rec4107,stm1,0.18641829820912922,1.0065523776617205,-2.4328068650264294,-4.178636619058126
rec1153,mid1,0.250983385397753,1.3334133208624752,-2.409460275991894,-4.133115260633868
rec6841,pol32,0.30679534628826294,1.601773961572345,-2.3843220683184,-4.084100590441327
rec775,sgs1,0.19980905498933643,1.0149645814722106,-2.344735513456717,-4.00691442204754
rec6464,rad50,0.1507993856643294,0.7479881922646796,-2.3103849446407567,-3.93993741941836
rec6414,ssz1,0.18420013812176744,0.9027057754932333,-2.2929816945265293,-3.906004428820682
rec4222,mus81,0.28213592275394833,1.3661291460731524,-2.2756316014096685,-3.8721750841443114
rec7160,mms4,0.23089826251719764,1.1129223830027581,-2.269023758163715,-3.8592910606852358
rec4963,rad27,0.17619437617821881,0.8327491492066124,-2.2407140982985396,-3.804092668676657
rec4530,rad54,0.17024427727710964,0.7900366541090513,-2.2143132861487755,-3.7526161625890593
rec3021,vac7,0.29782962740263885,1.3685709389053957,-2.2001110355787246,-3.7249245054620133
rec6243,trm10,0.23292274908982635,1.068017020398511,-2.1970111820193585,-3.718880387208598
rec210,rnr1,0.14201113240028493,0.6388748675565048,-2.1695293586172686,-3.6652961170872485
rec6169,rad24,0.3404933976785246,1.462044118871455,-2.1022881178281287,-3.534188629893878
rec3489,rvs161,0.10864915428287053,0.45809603431287194,-2.075973128927799,-3.4828794626364985
rec4925,psy1,0.20036102509581258,0.8432679413561932,-2.0733892104215896,-3.4778413185081964
rec1665,rad17,0.32051740983387533,1.34839668254792,-2.0727703547297236,-3.4766346689320784
rec5727,paf1,0.10299428931764769,0.42976092358679296,-2.060969963233027,-3.4536261750543185
rec4348,ydr514c,0.11252835318992546,0.46125617672977715,-2.035279674893782,-3.4035350537439037
rec4205,xrs2,0.24726878023551635,0.9256160057653957,-1.9043337129290778,-3.1482156124333582
rec6055,sst2,0.13425154724223073,0.4992156064808474,-1.894724321151695,-3.1294791466185754
rec2421,sey1,0.21312107283546838,0.7807482776228785,-1.8731842316197855,-3.0874801147847513
rec7629,coa2,0.24317735136691163,0.8599851984324984,-1.8223029614025705,-2.988271423733004
rec3173,csg2,0.09777861027300319,0.34264247484293153,-1.8091131971118888,-2.9625539201216866
rec1475,sds3,0.20248505749954146,0.7080670979847393,-1.8060706322985467,-2.9566215039048123
rec7396,ddc1,0.5221469546637412,1.8131710231293345,-1.7959872047078955,-2.936960759424319
rec4701,env11,0.33541550788560753,1.1623569210483249,-1.7930318419630462,-2.9311983704696423
rec4134,rpl37a,0.3552252134766145,1.19779651920384,-1.753576953696143,-2.854268926612557
rec187,hom3,0.056209755431391936,0.18450199887479296,-1.7147440034991233,-2.778552142375898
rec7000,trk1,0.07638843215623585,0.24419828510699426,-1.6766269828555795,-2.704231283075514
rec3136,nth2,0.445551214158966,1.4011484065079292,-1.6529465930342147,-2.6580590773160386
rec4669,ygr039w,0.36857189779211275,1.149986383348152,-1.6415987984864207,-2.6359330604417606
rec2779,dig1,0.16447403252625525,0.5127619548296064,-1.6404293964295678,-2.6336529513391707
rec3439,ste50,0.24979838797507117,0.7719808081853903,-1.627800815019505,-2.6090296464141125
rec4752,ygr122w,0.24608111586846187,0.7525157322223777,-1.6125877930086123,-2.5793671793766553
rec4580,ygl214w,0.17837600082742383,0.5412990281444306,-1.601504273461221,-2.55775644792579
rec7537,ccr4,0.1477438732890318,0.4463343088977791,-1.5950264028667869,-2.5451258461398507
rec7395,rtc6,0.23416415782178987,0.7073523089453151,-1.5949086854417625,-2.544896319801361
rec1360,mrpl8,0.19879106759585985,0.5997433911716269,-1.5930924221015488,-2.5413549556054864
rec2419,ddp1,0.3943780733851619,1.1532522187264143,-1.5480568198252893,-2.4535441927554045
rec3156,gal10,0.08556166264398522,0.2498123744736627,-1.5458085202144147,-2.4491604409242336
rec407,nup60,0.20601231082212643,0.6014652959277363,-1.5457509453152256,-2.449048180944056
rec3233,pby1,0.3681436656549058,1.0694092243308575,-1.5384732424895422,-2.4348580601369814
rec5468,atg11,0.1647184226344945,0.475663416381525,-1.5299391511352396,-2.418218223337272
rec2941,fpr1,0.2580885273646032,0.7280115232384363,-1.496095274414196,-2.3522291728423124
rec1582,aat2,0.06462527656090103,0.18188023059031103,-1.4928182837647412,-2.3458396713315737
rec6157,spt2,0.46869420403613754,1.310498774523117,-1.4833971451785077,-2.32747026303325
rec4122,ylr173w,0.3764426984167295,1.0503158238018924,-1.4803210213630769,-2.3214724132166245
rec1022,mdl2,0.29970161513976085,0.8359696521531722,-1.479923710933146,-2.320697734292015
