from,to,any_sig,EMAP_diff
aft1,arp8,FALSE,-4.787322588267117e-4
aft1,asf1,TRUE,-0.27731088931766357
aft1,bim1,FALSE,-0.13784605488284074
aft1,chl1,FALSE,-0.17413361225816104
aft1,cik1,FALSE,-2.691924526826781e-4
aft1,cka2,FALSE,-0.32125304511392905
aft1,csm2,TRUE,-0.12918943688992213
aft1,csm3,FALSE,-0.06354021576026597
aft1,ctf18,TRUE,-0.7617162881279593
aft1,ctf4,TRUE,-0.25330109708191273
aft1,ctf8,TRUE,-0.391366519274992
aft1,dbf2,TRUE,-0.41320731838460206
aft1,dcc1,TRUE,-0.413086053949551
aft1,ddc1,FALSE,-0.030659772698391374
aft1,def1,FALSE,-7.279393629125067e-4
aft1,dia2,FALSE,-0.04514844699247833
aft1,dot1,FALSE,0.13466803543849104
aft1,dpb4,FALSE,-0.06385108075140233
aft1,dun1,FALSE,0.00282640784383259
aft1,erg2,TRUE,-0.6883288513005849
aft1,esc2,FALSE,0.17011616305382882
aft1,exo1,FALSE,-0.00696919681964292
aft1,gnd1,TRUE,-0.12277550529815627
aft1,gph1,FALSE,-0.11146178908539528
aft1,gpx2,FALSE,0.09136751417709568
aft1,hal5,TRUE,-0.45773733553767665
aft1,hcs1,FALSE,-0.04665981996494617
aft1,hpc2,FALSE,0.007912832746939213
aft1,hrq1,FALSE,0.13241804493702602
aft1,ina1,FALSE,0.1349401956919315
aft1,ira2,TRUE,-0.3314172265859
aft1,irc21,FALSE,-0.10448334298729722
aft1,lte1,FALSE,-0.05216252931447174
aft1,met18,FALSE,-0.3194219054288296
aft1,mgs1,FALSE,0.08118712177061937
aft1,mlh1,FALSE,0.44611055168401414
aft1,mlh2,FALSE,0.023903074370086208
aft1,mlh3,FALSE,0.14575369756205692
aft1,mms1,TRUE,-0.3709337335029042
aft1,mms22,TRUE,-0.353057410616663
aft1,mph1,FALSE,0.07545217028245682
aft1,mre11,TRUE,-0.5415727596640691
aft1,msh2,FALSE,-6.479159916105489e-4
aft1,mus81,FALSE,0.2150459930004932
aft1,npl6,FALSE,-0.024904763164801266
aft1,nup60,FALSE,-0.2594764188928902
aft1,nup84,TRUE,-0.5320015765211733
aft1,pif1,FALSE,-0.027947568276782353
aft1,pol30-RR,TRUE,-0.13312717955566972
aft1,pol32,TRUE,-0.8077520735403504
aft1,pso2,FALSE,-0.021095323714590164
aft1,psy2,FALSE,-0.019846164286927315
aft1,psy3,FALSE,0.046813593885042026
aft1,psy4,TRUE,0.10112383962937377
aft1,rad1,TRUE,0.15258542545499765
aft1,rad10,FALSE,0.23786164627714712
aft1,rad14,FALSE,-0.09768325800180366
aft1,rad16,FALSE,-0.05205125115595943
aft1,rad18,TRUE,0.06653234203475344
aft1,rad2,FALSE,-0.011289563157470428
aft1,rad23,TRUE,-0.353700289006209
aft1,rad26,FALSE,0.04490931304641688
aft1,rad27,TRUE,-0.8903050541610766
aft1,rad28,FALSE,-0.03177701307319288
aft1,rad34,FALSE,0.018390159639890213
aft1,rad4,FALSE,-0.04331093090249061
aft1,rad5,TRUE,0.22937312912872254
aft1,rad50,TRUE,-0.5892242635059706
aft1,rad51,TRUE,-0.22497580540649448
aft1,rad52,FALSE,0.07734997404349975
aft1,rad54,FALSE,-0.07250693761489702
aft1,rad55,TRUE,-0.26859247759276256
aft1,rad57,FALSE,-0.16747420565238266
aft1,rad6,TRUE,-0.35987192945823593
aft1,rad61,FALSE,-0.09032817521456771
aft1,rad9,FALSE,-0.01890621345614274
aft1,rcy1,TRUE,-0.1804094530582761
aft1,rdh54,FALSE,-0.021920521387665197
aft1,reg1,FALSE,-0.01542563417167269
aft1,rev1,TRUE,0.28209067133378074
aft1,rev3,TRUE,0.10863320159601797
aft1,rev7,FALSE,0.035646373855564795
aft1,rnh203,FALSE,-0.05796932481779271
aft1,rph1,FALSE,0.03183637607463358
aft1,rrd1,TRUE,-0.8267438447555154
aft1,rrm3,FALSE,0.08281719456496145
aft1,rts1,TRUE,-0.7958153533682439
aft1,rtt101,FALSE,-0.11096437153718947
aft1,rtt107,TRUE,-0.31350297655740517
aft1,rtt109,TRUE,-0.4135155845165131
aft1,sac1,TRUE,-0.2682229893464158
aft1,saw1,FALSE,0.0493117768734167
aft1,sec22,FALSE,-0.6892585582696542
aft1,sgs1,FALSE,-0.19135815480488455
aft1,shu1,FALSE,-0.07654313969952442
aft1,shu2,FALSE,-0.04422259088214334
aft1,sin3,FALSE,-0.04225493383129068
aft1,sin4,FALSE,0.010581196304610796
aft1,sis2,FALSE,-0.6734979909932634
aft1,siz1,FALSE,-0.1034194936859264
aft1,sky1,TRUE,-0.3596999546273383
aft1,slt2,FALSE,0.0580589423304988
aft1,slx4,FALSE,0.27599251924713186
aft1,slx5,TRUE,0.2529105605294154
aft1,slx8,FALSE,0.28498181170121345
aft1,snf2,TRUE,-0.38826100568738797
aft1,sod1,TRUE,-0.2509327454404316
aft1,srs2,FALSE,-0.078035583474342
